gene,mu_pre,mu_pri,gamma_pre,gamma_pri,what
NOTCH1,2.296561e-08,2.614008e-06,39131.538374816,0.001,0.269556105831423
NOTCH2,4.131377e-08,2.041501e-06,23441.8856632685,0.001,
FAT1,1.320741e-08,4.070489e-06,40807.1625612108,0.001,1.28177491935399
TP53,1.084032e-07,1.295425e-06,6307.78009380909,2161.57239671106,61.1835939521516
PIK3CA,6.314948e-08,2.49629e-06,8628.34936249153,1271.11875753229,1.65783978374678
NFE2L2,1.498474e-07,2.014241e-06,2267.70806115143,1005.72244629648,94.3389423076923
FBXW7,2.212817e-07,2.826697e-06,626.844527915696,347.506752197974,Inf
RB1,6.934754e-08,3.155365e-06,0.001,202.67968956928,Inf
CREBBP,8.529481e-08,3.395447e-06,2623.02798623558,105.892314081912,3.94631722747883
PTCH1,2.275004e-07,4.632792e-06,3238.16588584952,57.5352576229299,15.4697957545404
CDKN2A,2.574329e-07,2.223559e-06,443.04208126758,814.07806350407,62.5582689508159
