"","gene","selection_intensity","ci_low","ci_high","group","loglik_step","loglik_simple","LRT_stat","p_value","p_less_0.5","significance"
"1","TP53",6307.78009380909,5231.54263706085,7480.45061603279,"Pre",-1376.0626832554,-1399.54335293527,46.9613393597456,7.24008814398881e-12,TRUE,"***"
"2","NOTCH1",39131.538374816,34931.7837402575,43655.8424952764,"Pre",-886.889679753943,-1699.06716459954,1624.35496969119,0,TRUE,"***"
"3","NOTCH2",23441.8856632685,16419.2809511073,32228.0635821064,"Pre",-174.523099378646,-288.676525685502,228.306852613712,1.39506873448317e-51,TRUE,"***"
"4","NFE2L2",2267.70806115143,844.890330231921,4330.10891202064,"Pre",-420.173498259039,-669.710373347303,499.073750176528,1.51183338337628e-110,TRUE,"***"
"5","PIK3CA",8628.34936249153,3180.97602496585,16607.3308228383,"Pre",-397.772069382347,-275.354090081095,-244.835958602503,1,FALSE,"ns"
"6","FAT1",40807.1625612108,33851.721898289,48656.0557152056,"Pre",-448.145077862343,-152.195812425501,-591.898530873685,1,FALSE,"ns"
"7","FBXW7",626.844527915696,129.486463331519,1493.51268472845,"Pre",-275.12243357406,-268.827481960971,-12.5899032261781,1,FALSE,"ns"
"8","RB1",0.001,1e-09,1719.94552256135,"Pre",-152.03095143859,-130.918220240116,-42.2254623969482,1,FALSE,"ns"
"9","CDKN2A.p16INK4a",443.04208126758,28.9004701929215,1516.00788552535,"Pre",-268.648164164522,-115.551475430122,-306.193377468799,1,FALSE,"ns"
"10","CREBBP",2623.02798623558,799.314321898222,5283.3510090595,"Pre",-127.381034030836,-420.994538880399,587.227009699125,1.0047907670968e-129,TRUE,"***"
"11","PTCH1",3238.16588584952,1666.86245730909,5375.6977834259,"Pre",-110.415815927572,-401.524188218122,582.2167445811,1.23564932872299e-128,TRUE,"***"
"12","TP53",2161.57239671106,1993.67299577435,2337.14869274625,"Pri",-1376.0626832554,-1399.54335293527,46.9613393597456,7.24008814398881e-12,TRUE,"***"
"13","NOTCH1",0.001,1e-09,4.99189433805758,"Pri",-886.889679753943,-1699.06716459954,1624.35496969119,0,TRUE,"***"
"14","NOTCH2",0.001,1e-09,37.4208822409659,"Pri",-174.523099378646,-288.676525685502,228.306852613712,1.39506873448317e-51,TRUE,"***"
"15","NFE2L2",1005.72244629648,793.008513618727,1247.52550534305,"Pri",-420.173498259039,-669.710373347303,499.073750176528,1.51183338337628e-110,TRUE,"***"
"16","PIK3CA",1271.11875753229,1000.92201223837,1578.64632666213,"Pri",-397.772069382347,-275.354090081095,-244.835958602503,1,FALSE,"ns"
"17","FAT1",0.001,1e-09,10.9999350612352,"Pri",-448.145077862343,-152.195812425501,-591.898530873685,1,FALSE,"ns"
"18","FBXW7",347.506752197974,255.3793570629,456.411656204941,"Pri",-275.12243357406,-268.827481960971,-12.5899032261781,1,FALSE,"ns"
"19","RB1",202.67968956928,138.53286643172,284.104794540417,"Pri",-152.03095143859,-130.918220240116,-42.2254623969482,1,FALSE,"ns"
"20","CDKN2A.p16INK4a",814.07806350407,611.340928830542,1054.06936211741,"Pri",-268.648164164522,-115.551475430122,-306.193377468799,1,FALSE,"ns"
"21","CREBBP",105.892314081912,42.0874891356788,190.738305866236,"Pri",-127.381034030836,-420.994538880399,587.227009699125,1.0047907670968e-129,TRUE,"***"
"22","PTCH1",57.5352576229299,1e-09,185.70204464037,"Pri",-110.415815927572,-401.524188218122,582.2167445811,1.23564932872299e-128,TRUE,"***"
