Gene,AML_mean_age,AML_m,AML_mean_age_se,AML_mean_age_l,AML_mean_age_h,mut,AML_f,age_U,diff_rank_ce_l,diff_rank_ce_h,AMLo_m,AMLo_f,ce_o_l,ce_o_h,cellfrac_N_l,cellfrac_N_h,cellfrac_N,ce_o,AMLo_f_l,AMLo_f_h,ce_o_regression,L,AMLy_m,AMLy_f,AMLy_f_l,AMLy_f_h,ce_y,ce_y_l,ce_y_h,diff_rank_ce,CH_dndscv_q,possel,Bailey
ASXL1,62.54579263631179,263,0.8998517372907022,60.78208323122201,64.30950204140156,255,0.05384290540540541,0.4897742538211446,-2,3,235,0.07904473595694585,11.335881905823834,22.64835800495429,0.0038845540777925533,0.007265827313608157,0.005453184583333334,15.653427687464726,0.0695959248193857,0.08933143917841369,23.758322612517073,4525.69259606373,9,0.006085192697768763,0.002786200807611149,0.011520031843609613,44.239360446153064,6.173608464818576e-7,2.575139469572682e-6,1,1.15463194561016e-12,TRUE,FALSE
CEBPA,52.499411178181816,297,1.1273121073872006,50.2898794477029,54.70894290866073,227,0.04793074324324324,0.2321543892147179,-1,4,179,0.06020854355869492,544.3072679717218,13598.576683415842,4.609929078014184e-6,1.1471852836879432e-4,4.7429078014184396e-5,1350.7076144475143,0.05192604239414242,0.06936901361931047,1469.5372535078868,1077,24,0.016227180527383367,0.010424014577615649,0.024049059309411924,500.8426004658086,9.780704979733456e-6,2.2879914810264412e-5,3,0.997088264604514,FALSE,FALSE
DNMT3A,59.591416837717645,850,0.4270998021477377,58.75430122550808,60.42853244992721,785,0.1657516891891892,0.40521999590525337,-5,3,751,0.2526067944836865,13.626239336505984,19.402636576124547,0.017539551929432066,0.02362355074876433,0.020520199853870418,16.132801125095902,0.23706937624876587,0.2686325084986477,17.34280811983814,2302.2223650385604,7,0.004732927653820149,0.0019049357036561986,0.009727184081887552,67.54787299875356,8.290126264345981e-7,4.266630256711375e-6,-1,0,TRUE,FALSE
EZH2,57.07640363721088,147,1.7438604230319832,53.65843720806819,60.49437006635357,124,0.026182432432432432,0.3535080295442464,-5,6,103,0.03464513958964009,95.75109021047545,363.193857255097,1.0068040780141844e-4,3.5554521276595733e-4,2.1338652482269502e-4,168.14952888569778,0.028364696245581213,0.041861490888221,245.91656248482937,2168.8781725888325,16,0.010818120351588911,0.006195780170703027,0.017508642730937773,164.89565615628896,2.8744847294431343e-6,8.216532627345709e-6,0,0.838091860018472,FALSE,FALSE
FLT3,54.43414290722701,696,0.6600767316706042,53.14039251315263,55.7278933013014,637,0.1345016891891892,0.260982595977194,4,6,544,0.18298015472586612,5238.044099449886,81637.14843219522,2.74822695035461e-6,4.3444148936170206e-5,2.0833333333333333e-5,10749.878962536022,0.16923062442952397,0.19735648388089733,9675.347220616462,2982,50,0.03380662609871535,0.025193953875919557,0.044328861355056315,383.70623223290164,8.667033528373935e-6,1.5555016152753217e-5,5,0.997088264604514,FALSE,FALSE
IDH1,57.412276664181036,232,0.9508816282165299,55.548548672876635,59.27600465548544,231,0.048775337837837836,0.3199475330440924,-1,13,210,0.07063572149344097,129.3829918216181,1497.8060314310035,4.866854660228359e-5,5.582244196720482e-4,2.7608583572254913e-4,275.21643471450875,0.06168370917858065,0.08044336162730337,295.6080218637392,1245,6,0.004056795131845842,0.0014901829785832763,0.008808876001869526,106.99115326491824,1.1987204321280344e-6,7.138282657940273e-6,7,0.661133186406766,FALSE,FALSE
IDH2,60.41267490245901,427,0.7048890429812872,59.03109237821569,61.79425742670233,427,0.09016047297297297,0.4279192344545456,1,10,398,0.13387151025899766,390.63485610070364,4302.608274225231,3.497235746297961e-5,3.830568718668421e-4,1.787746128552837e-4,864.4150999316232,0.12182797411221681,0.14664046739884307,1087.800165195914,1208.6949152542372,12,0.008113590263691683,0.0041992346267906225,0.014129877245535938,221.31107809726362,3.488839495210723e-6,1.1857741773298953e-5,5,0.268196231323034,FALSE,FALSE
KIT,35.951803762328765,219,1.4896967200448283,33.0319981910409,38.87160933361663,194,0.040962837837837836,-0.19935811010182172,-4,2,99,0.033299697275479316,363.06784759173036,1727.472387524925,2.1356382978723408e-5,9.208338652482268e-5,5.202130319148936e-5,662.13205000859,0.02714503121480326,0.0403935524190312,455.63312335758843,2931,75,0.05070993914807302,0.040092370229778684,0.06315342796097834,596.001089837252,1.4250052686916296e-5,2.2999195162948703e-5,-1,0.785278536401719,FALSE,FALSE
KRAS,47.67152401487805,205,1.6316988576564395,44.47339425387143,50.86965377588467,196,0.041385135135135136,0.10470983547604064,-14,-7,137,0.04608139926000673,117.99165415902014,285.2020484804308,1.6731057156792759e-4,3.975443465601362e-4,2.7772292892218797e-4,173.89294939110113,0.03882685720877946,0.054245134132451134,179.34764523345987,388.13589588377727,44,0.029749830966869506,0.02169770802717589,0.03973354876809698,2583.364473101254,5.7142203107490776e-5,1.066060347387121e-4,-9,0.00182338756591192,TRUE,FALSE
NPM1,56.569306749279754,958,0.482572038802315,55.62346555322722,57.51514794533229,953,0.20122466216216217,0.34632235280216156,1,2,862,0.2899428187016482,Inf,Inf,0,0,0,Inf,0.273677875521523,0.3066221206638302,122674931.23892254,851.1764705882352,40,0.027045300878972278,0.01939029139157,0.03664730010227424,1067.9435678872915,2.323103382385828e-5,4.4692747718308824e-5,2,NA,FALSE,FALSE
PHF6,59.13733003123712,97,1.701359681948641,55.80266505461778,62.47199500785646,93,0.019636824324324325,0.38002403896257286,-5,9,83,0.02791792801883619,102.45051358097993,999.2960653096644,2.8604831560283688e-5,2.708931737588652e-4,1.264627659574468e-4,227.07150986577597,0.02229644241761539,0.03449216660734844,307.08266332131234,1049.4473684210527,8,0.005409060175794456,0.0023380540387731097,0.010630047563846778,169.4670884751302,2.233111842382887e-6,1.0238016576389916e-5,2,0.701567440578476,FALSE,FALSE
PTPN11,49.64626411399281,278,1.290977616952552,47.1159479847658,52.17658024321981,261,0.0551097972972973,0.15167533551659923,-12,-2,203,0.0682811974436596,76.61071479101906,527.9992050743813,1.434787455673759e-4,9.677220523049645e-4,4.4792641843971633e-4,163.53661932825122,0.059474814460743826,0.07794821490491,151.38281430173953,1600.9581818181819,45,0.030425963488843813,0.02227764762395107,0.040502121862800555,640.9912353356054,1.4232257681334824e-5,2.6366578065223813e-5,-9,0.287546877609479,FALSE,FALSE
