"","Gene","n_patient_COSMIC","frac_patient_COSMIC","mean_age_COSMIC","L","ESSC_mutation_density","cellfrac_N_l","cellfrac_N_h","m_C","frac_C_samples","m_N","frac_N_samples","cellfrac_N","frac_C_samples_l","frac_C_samples_h","frac_N_samples_l","frac_N_samples_h","ce","cel","ceh","rank_ce"
"1","AJUBA",6,0.0177514792899408,63.6666666666667,1617,8.40328367358711,0,0.0199987299214286,4,0.0634920634920635,3,0.0476190476190476,0.00930489501587302,0.0175687932633546,0.154660677395377,9.23971529703207e-05,0.00123679176463928,7.21832645235177,0.876322588200859,Inf,8
"2","CDKN2A",9,0.0266272189349112,61.3333333333333,417,48.8780924467279,0,0.0101102012380952,11,0.174603174603175,1,0.0158730158730159,0.00337006707936508,0.0905189845629966,0.290970949080873,1.35405665378245e-06,0.00028745226192054,62.5582689508159,9.74480345185992,Inf,14
"3","CREBBP",12,0.0355029585798817,60.6666666666667,7215,3.76662777552054,0.00197458468888889,0.0282044097460317,3,0.0476190476190476,4,0.0634920634920635,0.0125115192698413,0.00992995115073328,0.132918400748151,0.000219812295462318,0.00193504004551897,3.94631722747883,0.345572438896474,77.480242834288,6
"4","CUL3",5,0.014792899408284,57.2,2109,5.36909660984288,0,0,3,0.0476190476190476,0,0,0,0.00992995115073328,0.132918400748151,0,0,Inf,Inf,Inf,17.5
"5","EP300",25,0.0739644970414201,61.6,7245,7.81464786070299,0.00906485511111111,0.0745184528174603,4,0.0634920634920635,8,0.126984126984127,0.0363376434603175,0.0175687932633546,0.154660677395377,0.00205130646899593,0.00853809531507692,1.79794380977626,0.22209752440397,20.000147618247,5
"6","FAT1",27,0.0798816568047337,60.5333333333333,13773,4.93287943810003,0.0145685181571429,0.0652861650484127,3,0.0476190476190476,9,0.142857142857143,0.0375438816825397,0.00992995115073328,0.132918400748151,0.00253282873070643,0.00953394777725161,1.28177491935399,0.143594796217422,10.3689836681795,2
"7","FBXW7",1,0.0029585798816568,60,2124,1.06623585218066,0,0,2,0.0317460317460317,0,0,0,0.0038679824964188,0.11001937340888,0,0,Inf,Inf,Inf,17.5
"8","KDM6A",11,0.0325443786982249,57.3636363636364,4155,5.99555582439205,0,0.00364919838095238,1,0.0158730158730159,1,0.0158730158730159,0.00121639946031746,0.000401789229084888,0.085295709299263,4.88736201420226e-07,0.000103753654759018,13.2435219164978,0.109745727363238,Inf,9
"9","KMT2D",22,0.0650887573964497,55.9545454545455,16614,2.99886053332719,0,0.0243337701904762,9,0.142857142857143,1,0.0158730158730159,0.00811125673015873,0.0674631555714806,0.253941450643488,3.25901558852008e-06,0.00069185539610731,20.3809096474916,2.90063125718538,Inf,11
"10","NFE2L2",19,0.0562130177514793,57.8095238095238,1770,26.8691434749527,0,0.0099047619047619,15,0.238095238095238,1,0.0158730158730159,0.0033015873015873,0.13981164813906,0.362116378032798,1.32654221666122e-06,0.000281611230702329,94.3389423076923,16.2473572358755,Inf,15
"11","NOTCH1",44,0.130177514792899,59.6888888888889,7668,13.2904046363364,0.394916538355556,0.535639400295635,12,0.19047619047619,52,0.825396825396825,0.466067175380952,0.102484243593857,0.309088469085558,0.330455167024915,0.423879247927325,0.269556105831423,0.0989914912554331,0.685441387414783,1
"12","NOTCH3",3,0.00887573964497041,56.3333333333333,6966,0.975316515948202,0,0.0135683171230159,10,0.158730158730159,3,0.0476190476190476,0.00589374253968254,0.0788338107522415,0.272598017492844,5.85245755140463e-05,0.000783386832795947,31.8248069246069,6.22179300928927,Inf,12
"13","PIK3CA",14,0.0414201183431953,66.7142857142857,3105,10.2111398713186,0,0.0473843561269841,2,0.0317460317460317,3,0.0476190476190476,0.0193933325714286,0.0038679824964188,0.11001937340888,0.00019257484508421,0.00257773075057131,1.65783978374678,0.0780639147211309,Inf,4
"14","PLXNB2",1,0.0029585798816568,54,5517,0.410492106222897,0,0.0244013475238095,2,0.0317460317460317,1,0.0158730158730159,0.00813378250793651,0.0038679824964188,0.11001937340888,3.26806620340795e-06,0.000693776748300383,3.99816491533519,0.155247631210696,Inf,7
"15","PTCH1",5,0.014792899408284,59.4,4341,2.60848301086354,0,0.0104849278730159,4,0.0634920634920635,2,0.0317460317460317,0.00436339225396825,0.0175687932633546,0.154660677395377,1.68775248633586e-05,0.000480057681718749,15.4697957545404,1.68770582586169,Inf,10
"16","RB1",8,0.0236686390532544,50.125,2787,6.50071029790233,0,0,4,0.0634920634920635,0,0,0,0.0175687932633546,0.154660677395377,0,0,Inf,Inf,Inf,17.5
"17","TP53",188,0.556213017751479,59.0100502512563,1026,439.251759314146,0.0976924701984127,0.224063237235714,58,0.920634920634921,28,0.444444444444444,0.159376576095238,0.824424050275152,0.973727659355972,0.0508687200468376,0.091659440881519,61.1835939521516,16.2607790475921,342.31996622365,13
"18","ZFP36L2",4,0.0118343195266272,65.2,1485,7.62520185195867,0.00193050193650794,0.0223592984023809,1,0.0158730158730159,5,0.0793650793650794,0.0111072348888889,0.000401789229084888,0.085295709299263,0.000291813058614118,0.00195016331443363,1.43599045737289,0.0175749428807441,48.2099865700615,3
"19","ZNF750",4,0.0118343195266272,59.25,2172,4.1706905157122,0,0,10,0.158730158730159,0,0,0,0.0788338107522415,0.272598017492844,0,0,Inf,Inf,Inf,17.5
