"gene","si_pre","si_pri","n_muts","ci_lo_pre","ci_lo_pri","ci_hi_pre","ci_hi_pri","n_pre","n_pri"
"NOTCH1",39131.538374816,0.001,310,34931.7837402575,1e-09,43655.8424952764,4.99189433805758,430,1741
"NOTCH2",23441.8856632685,0.001,34,16419.2809511073,1e-09,32228.0635821064,37.4208822409659,430,1741
"FAT1",40807.1625612108,0.001,117,33851.721898289,1e-09,48656.0557152056,10.9999350612352,430,1741
"TP53",6307.78009380909,2161.57239671106,1130,5231.54263706085,1993.67299577435,7480.45061603279,2337.14869274625,430,1741
"PIK3CA",8628.34936249153,1271.11875753229,106,3180.97602496585,1000.92201223837,16607.3308228383,1578.64632666213,430,1741
"NFE2L2",2267.70806115143,1005.72244629648,108,844.890330231921,793.008513618727,4330.10891202064,1247.52550534305,430,1741
"FBXW7",626.844527915696,347.506752197974,63,129.486463331519,255.3793570629,1493.51268472845,456.411656204941,430,1741
"RB1",0.001,202.67968956928,30,1e-09,138.53286643172,1719.94552256135,284.104794540417,430,1741
"CREBBP",2623.02798623558,105.892314081912,23,799.314321898222,42.0874891356788,5283.3510090595,190.738305866236,430,1741
"PTCH1",3238.16588584952,57.5352576229299,19,1666.86245730909,1e-09,5375.6977834259,185.70204464037,430,1741
"CDKN2A.p16INK4a",443.04208126758,814.07806350407,61,28.9004701929215,611.340928830542,1516.00788552535,1054.06936211741,430,1741
