"variant","age","ylo","yhi","cancer_type"
"U2AF1_S34F",21,3233932092450.76,44932481179491,"AML"
"U2AF1_S34F",21.2240802675585,3322568357565.44,45107046229343.7,"AML"
"U2AF1_S34F",21.4481605351171,3399098888892.01,45268435493252.2,"AML"
"U2AF1_S34F",21.6722408026756,3477934534986.95,45424070936647.5,"AML"
"U2AF1_S34F",21.8963210702341,3558585242527.33,45616350472453.7,"AML"
"U2AF1_S34F",22.1204013377926,3643284973216.96,45801607682293.5,"AML"
"U2AF1_S34F",22.3444816053512,3733674935661.04,45990834764146.3,"AML"
"U2AF1_S34F",22.5685618729097,3831751227136.87,46176748714180.1,"AML"
"U2AF1_S34F",22.7926421404682,3917129105283.52,46305447899355.4,"AML"
"U2AF1_S34F",23.0167224080268,4007302457333.56,46411162146411.4,"AML"
"U2AF1_S34F",23.2408026755853,4094669383987.24,46571190576331.6,"AML"
"U2AF1_S34F",23.4648829431438,4186124465723.1,46685042359525.9,"AML"
"U2AF1_S34F",23.6889632107023,4279551338677.82,46823844763326.4,"AML"
"U2AF1_S34F",23.9130434782609,4374989319978.68,47012543713595.9,"AML"
"U2AF1_S34F",24.1371237458194,4478703698015.81,47197629222675.6,"AML"
"U2AF1_S34F",24.3612040133779,4582201844295.55,47360193143811.2,"AML"
"U2AF1_S34F",24.5852842809365,4684114397919.9,47502289295819.6,"AML"
"U2AF1_S34F",24.809364548495,4797335302188.34,47647304230378.3,"AML"
"U2AF1_S34F",25.0334448160535,4915341822564.78,47770006230387.2,"AML"
"U2AF1_S34F",25.257525083612,5017846943956.77,47911344968060,"AML"
"U2AF1_S34F",25.4816053511706,5117106684987.66,48031692679583.1,"AML"
"U2AF1_S34F",25.7056856187291,5229911477133.69,48152996065843.9,"AML"
"U2AF1_S34F",25.9297658862876,5348696072965.46,48344388023760.7,"AML"
"U2AF1_S34F",26.1538461538462,5468585137963.81,48537828920394.3,"AML"
"U2AF1_S34F",26.3779264214047,5590398076455.33,48706838244072.7,"AML"
"U2AF1_S34F",26.6020066889632,5720616820679.6,48872181354148.4,"AML"
"U2AF1_S34F",26.8260869565217,5849944914346.11,49008821219888.5,"AML"
"U2AF1_S34F",27.0501672240803,5998153915339.11,49161250365814.2,"AML"
"U2AF1_S34F",27.2742474916388,6119138464912.85,49310759082565.4,"AML"
"U2AF1_S34F",27.4983277591973,6261679641617.76,49441571103824.2,"AML"
"U2AF1_S34F",27.7224080267559,6404775810652.27,49623803443470.8,"AML"
"U2AF1_S34F",27.9464882943144,6542134277752.24,49805026459366.4,"AML"
"U2AF1_S34F",28.1705685618729,6685529764980.09,49944311658749.2,"AML"
"U2AF1_S34F",28.3946488294314,6823041051493.18,50084104001333.3,"AML"
"U2AF1_S34F",28.61872909699,6988398842030.47,50240777311067.2,"AML"
"U2AF1_S34F",28.8428093645485,7144489889015.02,50340955365317.6,"AML"
"U2AF1_S34F",29.066889632107,7303828479173.64,50458195080441.2,"AML"
"U2AF1_S34F",29.2909698996656,7466436661995.78,50636774495073,"AML"
"U2AF1_S34F",29.5150501672241,7632476069338.18,50769072092218.2,"AML"
"U2AF1_S34F",29.7391304347826,7808668218179.23,50908488839994.6,"AML"
"U2AF1_S34F",29.9632107023411,7985156470677.04,51068952211446.7,"AML"
"U2AF1_S34F",30.1872909698997,8167440522123.35,51266926175163.8,"AML"
"U2AF1_S34F",30.4113712374582,8337836397232.68,51435198069792,"AML"
"U2AF1_S34F",30.6354515050167,8514964189183.21,51608010704606.6,"AML"
"U2AF1_S34F",30.8595317725753,8702368785451.01,51798778214600.5,"AML"
"U2AF1_S34F",31.0836120401338,8894028141178.19,52005908006229.1,"AML"
"U2AF1_S34F",31.3076923076923,9102690027033.15,52171351392258.9,"AML"
"U2AF1_S34F",31.5317725752508,9302355349108.47,52314336656504.4,"AML"
"U2AF1_S34F",31.7558528428094,9490349201408.37,52556025462967.6,"AML"
"U2AF1_S34F",31.9799331103679,9697239785110.85,52802801684037.6,"AML"
"U2AF1_S34F",32.2040133779264,9916586062784.8,53007222582664.3,"AML"
